Tid,Kilopris_Fersk,Vekt_Fersk,Frosen oppalen laks_Kilopris (kr),Frosen oppalen laks_Vekt (tonn)
2002U22,10821.0,10678.0,11458.0,10898.0
2002U23,12080.0,11090.0,12990.0,10904.0
2002U24,12257.0,12325.0,12351.0,12246.0
2002U25,11732.0,12408.0,14181.0,12702.0
2002U26,15027.0,14963.0,17766.0,16657.0
2002U27,7552.0,8265.0,10808.0,11067.0
2002U28,10967.0,10891.0,10929.0,10826.0
2002U29,9293.0,10891.0,11640.0,10902.0
2002U30,13320.0,11921.0,9929.0,7751.0
2002U31,11073.0,11632.0,11785.0,10955.0
2002U32,10629.0,10533.0,12513.0,11535.0
2002U33,12639.0,11780.0,12245.0,12280.0
2002U34,11275.0,11817.0,10625.0,10242.0
2002U35,10182.0,9884.0,12120.0,11048.0
2002U36,13132.0,12697.0,13516.0,12597.0
2002U37,13279.0,13536.0,13539.0,13935.0
2002U38,13748.0,14335.0,14497.0,13988.0
2002U39,15346.0,15255.0,17716.0,17626.0
2002U40,7752.0,10713.0,11133.0,9309.0
2002U41,11570.0,11853.0,10817.0,10320.0
2002U42,10585.0,10982.0,12801.0,10941.0
2002U43,11899.0,12165.0,12729.0,10941.0
2002U44,8130.0,13763.0,11889.0,9888.0
2002U45,10413.0,13036.0,10992.0,12609.0
2002U46,11833.0,13201.0,12880.0,13159.0
2002U47,13277.0,12160.0,10897.0,12758.0
2002U48,12169.0,11197.0,13788.0,12639.0
2002U49,14804.0,13819.0,14992.0,14613.0
2002U50,16648.0,16079.0,16207.0,16376.0
2002U51,15301.0,15906.0,17327.0,16194.0
2002U52,18710.0,18890.0,22369.0,19953.0
2003U01,9721.0,16499.0,12528.0,11785.0
2003U02,12990.0,13994.0,12883.0,13226.0
2003U03,14382.0,13613.0,15525.0,15829.0
2003U04,17175.0,16395.0,9286.0,18334.0
2003U05,16510.0,15530.0,13019.0,15370.0
2003U06,14425.0,16526.0,15328.0,16542.0
2003U07,17607.0,16993.0,15826.0,16734.0
2003U08,16064.0,16555.0,14355.0,14412.0
2003U09,15064.0,15238.0,15533.0,15317.0
2003U10,16474.0,16542.0,18359.0,17354.0
2003U11,17312.0,18459.0,18298.0,17499.0
2003U12,17795.0,17301.0,18453.0,17867.0
2003U13,19394.0,19372.0,23674.0,21897.0
2003U14,7356.0,23219.0,15684.0,10364.0
2003U15,14010.0,15135.0,13631.0,13732.0
2003U16,13163.0,14332.0,14576.0,13550.0
2003U17,18376.0,15892.0,11291.0,10986.0
2003U18,13438.0,13550.0,13265.0,14289.0
2003U19,14132.0,14217.0,15171.0,14456.0
2003U20,14940.0,14847.0,13309.0,13330.0
2003U21,14102.0,14217.0,13509.0,14098.0
2003U22,13734.0,12572.0,15530.0,13675.0
2003U23,16791.0,16403.0,18859.0,18020.0
2003U24,18727.0,18487.0,18051.0,18442.0
2003U25,18734.0,18068.0,18020.0,17751.0
2003U26,18384.0,17907.0,23617.0,21121.0
2003U27,7100.0,22644.0,15118.0,9341.0
2003U28,13699.0,14505.0,13053.0,13784.0
2003U29,14324.0,13190.0,15949.0,15963.0
2003U30,16449.0,15975.0,17313.0,16159.0
2003U31,12057.0,19722.0,14590.0,14614.0
2003U32,15695.0,15636.0,14444.0,16593.0
2003U33,15355.0,16919.0,17145.0,17308.0
2003U34,15256.0,15108.0,14297.0,14452.0
2003U35,15634.0,15439.0,16726.0,15710.0
2003U36,17045.0,16287.0,17405.0,17009.0
2003U37,17134.0,17142.0,17925.0,17554.0
2003U38,17873.0,17091.0,17877.0,16848.0
2003U39,18451.0,17687.0,21210.0,20184.0
2003U40,8305.0,18822.0,15622.0,9466.0
2003U41,16444.0,15946.0,14693.0,14810.0
2003U42,15864.0,14634.0,15920.0,16173.0
2003U43,19019.0,17767.0,12240.0,20283.0
2003U44,17988.0,15764.0,16206.0,16066.0
2003U45,15948.0,17602.0,16364.0,18209.0
2003U46,17313.0,16613.0,16383.0,16036.0
2003U47,15205.0,15214.0,15267.0,14930.0
2003U48,14226.0,13878.0,16971.0,15798.0
2003U49,17227.0,17353.0,19057.0,17706.0
2003U50,18598.0,18914.0,18992.0,18604.0
2003U51,19201.0,20108.0,18705.0,18118.0
2003U52,18889.0,18125.0,20949.0,19802.0
2004U01,10494.0,20207.0,14173.0,9593.0
2004U02,16115.0,14655.0,14839.0,15700.0
2004U03,14682.0,14323.0,16087.0,14627.0
2004U04,17936.0,16059.0,13750.0,10405.0
2004U05,16367.0,15627.0,15425.0,15169.0
2004U06,17283.0,14032.0,16324.0,12320.0
2004U07,12500.0,15456.0,13845.0,14209.0
2004U08,11925.0,12619.0,13629.0,13694.0
2004U09,15413.0,14947.0,16680.0,16386.0
2004U10,16810.0,16188.0,18559.0,18063.0
2004U11,19426.0,19576.0,16770.0,18261.0
2004U12,16888.0,17137.0,17125.0,18472.0
2004U13,18734.0,18009.0,18476.0,19131.0
2004U14,15026.0,19450.0,11950.0,10408.0
2004U15,14219.0,13217.0,14426.0,14137.0
2004U16,14775.0,14901.0,15774.0,15311.0
2004U17,15294.0,15606.0,17821.0,16351.0
2004U18,11516.0,18658.0,13791.0,14381.0
2004U19,14305.0,12105.0,13773.0,13034.0
2004U20,12787.0,14551.0,13724.0,13680.0
2004U21,15795.0,14485.0,14428.0,14234.0
2004U22,16311.0,15251.0,17023.0,17373.0
2004U23,18043.0,16988.0,19307.0,18273.0
2004U24,19317.0,18876.0,18213.0,18964.0
2004U25,20343.0,18824.0,19123.0,19574.0
2004U26,19795.0,19542.0,21601.0,20927.0
2004U27,19386.0,24582.0,14259.0,9901.0
2004U28,16479.0,17007.0,17266.0,17441.0
2004U29,15052.0,16515.0,15230.0,15688.0
2004U30,17862.0,15825.0,11423.0,19138.0
2004U31,15751.0,13953.0,14510.0,15094.0
2004U32,14991.0,13735.0,15363.0,14951.0
2004U33,16732.0,16826.0,16297.0,16548.0
2004U34,17914.0,16929.0,17286.0,17402.0
2004U35,17466.0,17367.0,19004.0,18978.0
2004U36,17501.0,18551.0,18489.0,17919.0
2004U37,19344.0,17736.0,19237.0,19999.0
2004U38,19103.0,20828.0,18638.0,19305.0
2004U39,19701.0,19468.0,21773.0,19860.0
2004U40,21874.0,23046.0,12098.0,9179.0
2004U41,15367.0,16968.0,16333.0,17427.0
2004U42,17634.0,17688.0,15192.0,17103.0
2004U43,14472.0,14387.0,17460.0,16569.0
2004U44,19916.0,17409.0,16037.0,12499.0
2004U45,16315.0,16133.0,18992.0,16127.0
2004U46,15457.0,17473.0,17756.0,15627.0
2004U47,15805.0,17510.0,16754.0,16630.0
2004U48,19422.0,18839.0,19510.0,19035.0
2004U49,19995.0,20732.0,21666.0,20918.0
2004U50,22761.0,22100.0,21887.0,21618.0
2004U51,21587.0,21025.0,19393.0,21899.0
2004U52,21543.0,20563.0,20399.0,21783.0
2004U53,20352.0,22556.0,11249.0,8714.0
2005U01,17512.0,16141.0,16259.0,16034.0
2005U02,17375.0,15452.0,16153.0,15504.0
2005U03,18009.0,14891.0,15676.0,15332.0
2005U04,11992.0,16955.0,16029.0,15119.0
2005U05,15927.0,15212.0,15417.0,16824.0
2005U06,13442.0,16342.0,16081.0,17174.0
2005U07,16147.0,15888.0,17391.0,18090.0
